变量,模型I,模型II,模型III,模型IV
截距项,$-1.0477^{***}$,-1.4545 ,$-1.9008^{***}$,$-2.6836^{***}$
,(0.1671) ,(2.8597) ,(0.1446) ,(0.1977) 
,0.0000 ,0.6111 ,0.0000 ,0.0000 
,,,,
房屋建筑施工面积,$-0.0019^{***}$,$-0.0083^{**}$,$-0.0012^{***}$,$-0.0010^{*}$
,(0.0002) ,(0.0029) ,(0.0002) ,(0.0004) 
,0.0000 ,0.0041 ,0.0000 ,0.0109 
,,,,
废气治理完成投资额,$-0.5486^{***}$,$-0.9775^{*}$,$-0.1845^{***}$,$-0.2094^{***}$
,(0.0475) ,(0.4417) ,(0.0498) ,(0.0599) 
,0.0000 ,0.0270 ,0.0002 ,0.0005 
,,,,
平均气温,$0.0310^{***}$,$0.1624^{***}$,$0.0370^{***}$,$0.0391^{***}$
,(0.0019) ,(0.0175) ,(0.0020) ,(0.0021) 
,0.0000 ,0.0000 ,0.0000 ,0.0000 
,,,,
降水量,$0.0008^{***}$,$0.0105^{***}$,$0.0005^{***}$,$0.0005^{***}$
,(0.0001) ,(0.0013) ,(0.0001) ,(0.0001) 
,0.0000 ,0.0000 ,0.0000 ,0.0000 
,,,,
平均相对湿度,$0.0309^{***}$,$0.1129^{***}$,$0.0310^{***}$,$0.0374^{***}$
,(0.0014) ,(0.0134) ,(0.0015) ,(0.0018) 
,0.0000 ,0.0000 ,0.0000 ,0.0000 
,,,,
平均风速,$0.3306^{***}$,$1.4830^{***}$,$0.2714^{***}$,$0.3613^{***}$
,(0.0209) ,(0.3276) ,(0.0252) ,(0.0337) 
,0.0000 ,0.0000 ,0.0000 ,0.0000 
,,,,
是否供暖,$0.1992^{***}$,$2.9745^{***}$,$0.3783^{***}$,$0.4102^{***}$
,(0.0570) ,(0.4320) ,(0.0615) ,(0.0630) 
,0.0005 ,0.0000 ,0.0000 ,0.0000 
,,,,
是否临海,$0.0826^{**}$,0.7663 ,0.0245 ,0.1373 
,(0.0283) ,(0.9886) ,(0.0298) ,(0.1704) 
,0.0036 ,0.4439 ,0.4109 ,0.4266 
,,,,
纬度,$-0.0170^{***}$,$-0.2144^{**}$,$-^{***}$,$-^{***}$
,(0.0024) ,(0.0670) ,(820.6000) ,(7.4160) 
,0.0000 ,0.0031 ,0.0000 ,0.0000 
,,,,
AIC,10329.1200 ,9652.3880 ,9463.2220 ,5676.1210 
BIC,10383.3800 ,9717.4350 ,9560.1670 ,5741.2400 
